time,theta_b,dtheta_b
3933.15,0.00,-0.09
4445.25,0.35,0.69
4468.37,0.70,15.21
4489.71,1.05,16.47
4507.19,1.41,20.12
4526.90,1.76,17.83
4543.83,2.11,20.77
4556.48,2.46,27.79
4566.60,2.81,34.74
4576.85,3.16,34.30
4586.54,3.52,36.25
4595.56,3.87,39.00
4604.19,4.22,40.71
4611.74,4.57,46.60
4619.24,4.92,46.88
4627.83,5.27,40.90
4634.99,5.62,49.15
4642.32,5.98,47.98
4650.40,6.33,43.49
4657.15,6.68,52.12
4663.86,7.03,52.34
4670.24,7.38,55.11
4676.75,7.73,54.02
4682.31,8.09,63.23
4688.63,8.44,55.59
4692.91,8.79,82.26
4699.54,9.14,53.03
4705.12,9.49,62.97
4710.79,9.84,62.01
4716.02,10.20,67.17
4720.76,10.55,74.17
4726.72,10.90,58.98
4732.03,11.25,66.25
4737.52,11.60,63.98
4743.15,11.95,62.48
4748.34,12.30,67.73
4753.79,12.66,64.48
4758.77,13.01,70.71
4763.56,13.36,73.27
4769.85,13.71,55.96
4774.90,14.06,69.51
4779.53,14.41,76.05
4785.64,14.77,57.55
4790.21,15.12,76.81
4795.58,15.47,65.50
4801.25,15.82,62.00
4806.23,16.17,70.58
4811.11,16.52,72.09
4816.32,16.88,67.49
4821.34,17.23,70.05
4826.64,17.58,66.33
4831.83,17.93,67.76
4836.84,18.28,70.07
4841.99,18.63,68.30
4847.92,18.98,59.28
4852.02,19.34,85.75
4857.95,19.69,59.28
4862.58,20.04,76.03
4868.81,20.39,56.36
4874.59,20.74,60.83
4880.02,21.09,64.74
4885.65,21.45,62.49
4891.84,21.80,56.75
4897.03,22.15,67.74
4902.53,22.50,63.97
4908.81,22.85,55.97
4915.40,23.20,53.38
4920.11,23.55,74.63
4926.50,23.91,55.01
4932.75,24.26,56.20
4938.99,24.61,56.34
4945.48,24.96,54.16
4951.38,25.31,59.62
4956.77,25.66,65.21
4963.73,26.02,50.56
4970.40,26.37,52.68
4976.59,26.72,56.77
4983.92,27.07,47.97
4991.40,27.42,46.99
4997.62,27.77,56.57
5005.12,28.12,46.86
5012.52,28.48,47.55
5018.95,28.83,54.67
5027.59,29.18,40.69
5035.63,29.53,43.72
5043.51,29.88,44.61
5052.58,30.23,38.75
5058.69,30.59,57.57
5069.50,30.94,32.50
5077.53,31.29,43.81
5087.74,31.64,34.44
5096.20,31.99,41.55
5104.84,32.34,40.71
5112.34,32.70,46.86
5122.90,33.05,33.30
5130.57,33.40,45.79
5138.86,33.75,42.42
5148.52,34.10,36.41
5156.66,34.45,43.18
5166.08,34.80,37.31
5173.83,35.16,45.38
5182.39,35.51,41.04
5190.64,35.86,42.64
5197.83,36.21,48.85
5204.99,36.56,49.15
5212.71,36.91,45.54
5218.97,37.27,56.12
5226.80,37.62,44.93
5234.04,37.97,48.55
5240.84,38.32,51.67
5247.65,38.67,51.66
5255.13,39.02,46.99
5262.74,39.38,46.19
5267.45,39.73,74.63
5274.95,40.08,46.86
5284.33,40.43,37.49
5291.53,40.78,48.84
5300.60,41.13,38.76
5308.60,41.48,43.95
5317.70,41.84,38.63
5325.38,42.19,45.79
5336.19,42.54,32.50
5345.18,42.89,39.12
5356.43,43.24,31.24
5365.77,43.59,37.66
5376.58,43.95,32.50
5388.68,44.30,29.06
5401.19,44.65,28.12
5415.41,45.00,24.72
5432.77,45.35,20.25
5454.66,45.70,16.06
5486.68,46.05,10.98
5626.04,45.70,-2.52
5669.26,45.35,-8.14
5702.10,45.00,-10.70
5734.70,44.65,-10.78
5767.94,44.30,-10.58
5801.81,43.95,-10.38
5990.92,43.59,-1.86
6590.17,43.24,-0.59
6599.42,42.89,-38.02
6605.53,42.54,-57.57
6615.06,42.19,-36.86
6619.99,41.84,-71.37
6624.63,41.48,-75.74
6628.82,41.13,-83.95
6633.10,40.78,-82.26
6636.85,40.43,-93.73
6641.29,40.08,-79.02
6644.79,39.73,-100.73
6647.97,39.38,-110.42
6650.43,39.02,-143.03
6653.77,38.67,-105.13
6657.35,38.32,-98.31
6659.96,37.97,-134.34
6662.67,37.62,-129.97
6665.84,37.27,-110.90
6668.65,36.91,-125.24
6671.45,36.56,-125.29
6673.31,36.21,-188.91
6675.84,35.86,-138.96
6678.52,35.51,-131.43
6680.64,35.16,-165.68
6683.35,34.80,-129.97
6685.64,34.45,-152.99
6687.88,34.10,-156.95
6689.89,33.75,-175.26
6692.33,33.40,-143.96
6694.60,33.05,-154.87
6696.82,32.70,-158.15
6698.87,32.34,-171.49
6701.19,31.99,-152.06
6702.93,31.64,-201.70
6705.31,31.29,-147.78
6707.06,30.94,-200.32
6708.97,30.59,-184.06
6710.91,30.23,-181.12
6712.97,29.88,-170.91
6715.28,29.53,-152.52
6716.76,29.18,-237.06
6718.50,28.83,-201.58
6720.66,28.48,-162.99
6722.56,28.12,-185.23
6724.48,27.77,-183.11
6726.36,27.42,-187.20
6728.02,27.07,-210.64
6729.85,26.72,-193.06
6731.46,26.37,-218.23
6733.16,26.02,-206.68
6735.27,25.66,-166.78
6736.81,25.31,-228.14
6738.32,24.96,-232.51
6740.35,24.61,-172.67
6742.27,24.26,-183.11
6743.71,23.91,-244.31
6745.72,23.55,-175.26
6747.25,23.20,-229.78
6748.89,22.85,-213.98
6750.65,22.50,-199.75
6752.18,22.15,-230.38
6753.64,21.80,-240.47
6755.19,21.45,-227.55
6756.93,21.09,-201.47
6758.52,20.74,-221.53
6760.15,20.39,-215.81
6761.56,20.04,-249.34
6763.26,19.69,-206.56
6764.83,19.34,-223.93
6766.38,18.98,-226.81
6767.92,18.63,-227.55
6769.43,18.28,-233.29
6770.98,17.93,-227.40
6772.64,17.58,-211.78
6774.22,17.23,-221.81
6775.65,16.88,-246.88
6777.19,16.52,-227.99
6778.67,16.17,-237.22
6780.15,15.82,-236.90
6781.75,15.47,-219.86
6783.10,15.12,-261.58
6784.50,14.77,-250.22
6786.29,14.41,-196.62
6787.59,14.06,-270.02
6788.91,13.71,-267.35
6790.21,13.36,-268.78
6792.13,13.01,-183.87
6793.36,12.66,-286.06
6794.81,12.30,-241.79
6796.43,11.95,-217.42
6797.86,11.60,-244.82
6799.29,11.25,-246.88
6800.62,10.90,-264.13
6802.12,10.55,-234.06
6803.56,10.20,-243.80
6805.05,9.84,-236.90
6806.20,9.49,-305.18
6807.65,9.14,-242.96
6809.01,8.79,-257.18
6810.50,8.44,-237.06
6811.81,8.09,-267.55
6813.17,7.73,-258.12
6814.65,7.38,-237.22
6815.90,7.03,-281.25
6817.12,6.68,-287.93
6818.91,6.33,-196.62
6819.92,5.98,-350.16
6821.62,5.62,-206.56
6822.89,5.27,-276.82
6824.28,4.92,-252.92
6825.76,4.57,-237.06
6827.29,4.22,-229.78
6828.38,3.87,-323.42
6829.77,3.52,-251.66
6831.17,3.16,-252.02
6832.48,2.81,-268.57
6834.05,2.46,-223.21
6834.96,2.11,-385.91
6836.64,1.76,-210.26
6838.06,1.41,-246.88
6839.46,1.05,-251.84
6840.85,0.70,-251.84
6842.04,0.35,-294.93
6843.56,0.00,-231.90
6844.94,-0.35,-254.57
6846.17,-0.70,-285.13
6847.75,-1.05,-223.50
6848.86,-1.41,-316.72
6850.25,-1.76,-253.10
6851.74,-2.11,-235.95
6853.20,-2.46,-239.97
6854.60,-2.81,-252.20
6856.08,-3.16,-237.06
6857.39,-3.52,-268.78
6858.52,-3.87,-310.57
6859.96,-4.22,-244.31
6861.44,-4.57,-237.06
6862.56,-4.92,-314.74
6864.32,-5.27,-199.19
6865.41,-5.62,-323.13
6866.81,-5.98,-252.02
6868.25,-6.33,-244.14
6869.86,-6.68,-217.28
6870.95,-7.03,-322.83
6872.48,-7.38,-230.23
6874.05,-7.73,-223.93
6875.53,-8.09,-237.06
6876.71,-8.44,-298.69
6878.37,-8.79,-212.04
6879.76,-9.14,-251.84
6881.03,-9.49,-277.92
6882.52,-9.84,-235.32
6883.86,-10.20,-262.95
6885.56,-10.55,-206.56
6887.00,-10.90,-243.63
6888.31,-11.25,-268.78
6889.75,-11.60,-244.31
6891.15,-11.95,-251.84
6892.72,-12.30,-223.93
6894.24,-12.66,-230.38
6895.90,-13.01,-212.04
6896.90,-13.36,-350.51
6898.71,-13.71,-194.56
6899.74,-14.06,-342.99
6901.53,-14.41,-196.29
6903.19,-14.77,-212.04
6904.50,-15.12,-268.57
6906.19,-15.47,-206.92
6908.03,-15.82,-191.69
6909.47,-16.17,-244.14
6911.17,-16.52,-206.80
6912.61,-16.88,-244.14
6914.01,-17.23,-250.76
6915.53,-17.58,-231.75
6917.32,-17.93,-196.18
6918.58,-18.28,-278.80
6920.38,-18.63,-194.99
6921.98,-18.98,-219.73
6923.54,-19.34,-226.38
6924.95,-19.69,-248.81
6926.78,-20.04,-191.80
6928.61,-20.39,-192.01
6929.98,-20.74,-256.43
6931.80,-21.09,-193.91
6933.37,-21.45,-223.78
6934.89,-21.80,-230.38
6936.95,-22.15,-171.24
6938.43,-22.50,-237.06
6940.44,-22.85,-175.26
6942.22,-23.20,-196.62
6943.93,-23.55,-205.95
6945.54,-23.91,-218.77
6947.49,-24.26,-180.01
6949.26,-24.61,-198.74
6951.25,-24.96,-176.22
6952.91,-25.31,-212.17
6954.80,-25.66,-186.01
6956.49,-26.02,-208.52
6958.32,-26.37,-191.90
6960.41,-26.72,-167.89
6962.46,-27.07,-171.75
6964.64,-27.42,-161.27
6966.39,-27.77,-201.01
6968.53,-28.12,-164.51
6970.53,-28.48,-175.26
6972.51,-28.83,-177.74
6974.97,-29.18,-143.20
6976.99,-29.53,-173.87
6978.90,-29.88,-183.39
6981.44,-30.23,-138.79
6983.83,-30.59,-146.67
6986.23,-30.94,-146.61
6988.22,-31.29,-176.84
6990.55,-31.64,-150.69
6992.52,-31.99,-179.09
6994.52,-32.34,-175.26
6996.96,-32.70,-143.96
6999.12,-33.05,-163.37
7001.59,-33.40,-142.22
7004.42,-33.75,-124.01
7006.21,-34.10,-196.29
7009.40,-34.45,-110.48
7011.66,-34.80,-155.15
7014.98,-35.16,-105.99
7017.95,-35.51,-118.53
7020.87,-35.86,-120.27
7024.10,-36.21,-108.94
7026.98,-36.56,-122.11
7030.86,-36.91,-90.56
7034.22,-37.27,-104.66
7037.60,-37.62,-104.01
7041.46,-37.97,-91.08
7046.65,-38.32,-67.73
7050.53,-38.67,-90.56
7055.38,-39.02,-72.40
7061.30,-39.38,-59.42
7067.71,-39.73,-54.83
7075.83,-40.08,-43.34
7086.47,-40.43,-33.03
7134.16,-40.08,7.37
7142.82,-39.73,40.57
7148.23,-39.38,64.98
7154.75,-39.02,53.98
7159.05,-38.67,81.68
7163.53,-38.32,78.49
7168.21,-37.97,75.09
7172.40,-37.62,83.97
7175.62,-37.27,108.94
7179.11,-36.91,100.79
7183.13,-36.56,87.61
7186.22,-36.21,113.55
7189.87,-35.86,96.32
7192.60,-35.51,128.64
7196.25,-35.16,96.34
7198.87,-34.80,134.39
7201.62,-34.45,127.93
7204.45,-34.10,124.14
7206.85,-33.75,146.36
7209.91,-33.40,115.12
7212.21,-33.05,152.72
7214.44,-32.70,157.37
7217.10,-32.34,132.17
7219.19,-31.99,168.13
7220.83,-31.64,214.89
7223.75,-31.29,120.48
7225.91,-30.94,162.53
7228.28,-30.59,148.15
7230.67,-30.23,147.41
7232.89,-29.88,158.01
7235.07,-29.53,161.49
7237.38,-29.18,152.13
7239.91,-28.83,138.79
7241.32,-28.48,249.87
7243.84,-28.12,139.62
7245.74,-27.77,184.84
7247.94,-27.42,159.87
7249.77,-27.07,192.01
7251.91,-26.72,164.67
7253.84,-26.37,181.59
7255.62,-26.02,198.18
7257.65,-25.66,172.76
7259.76,-25.31,166.78
7261.15,-24.96,251.84
7263.16,-24.61,175.26
7264.98,-24.26,193.49
7266.65,-23.91,210.64
7268.28,-23.55,215.02
7270.53,-23.20,156.25
7271.93,-22.85,252.02
7273.98,-22.50,171.49
7275.68,-22.15,206.80
7277.16,-21.80,237.06
7279.09,-21.45,182.25
7280.74,-21.09,213.33
7282.35,-20.74,218.23
7284.09,-20.39,201.58
7285.77,-20.04,208.89
7287.54,-19.69,198.96
7289.02,-19.34,237.22
7290.77,-18.98,201.58
7292.43,-18.63,212.04
7294.04,-18.28,217.96
7295.78,-17.93,201.47
7297.32,-17.58,228.88
7298.75,-17.23,246.54
7300.38,-16.88,215.81
7302.11,-16.52,202.86
7303.50,-16.17,251.84
7305.29,-15.82,196.62
7306.82,-15.47,230.23
7308.35,-15.12,230.23
7310.22,-14.77,187.50
7311.80,-14.41,222.51
7313.13,-14.06,264.73
7314.77,-13.71,214.37
7316.28,-13.36,232.51
7318.05,-13.01,198.74
7319.42,-12.66,256.24
7320.64,-12.30,288.17
7322.04,-11.95,251.84
7323.87,-11.60,191.90
7325.44,-11.25,223.78
7326.75,-10.90,268.78
7328.32,-10.55,223.93
7330.02,-10.20,206.68
7331.55,-9.84,230.23
7333.21,-9.49,212.04
7334.51,-9.14,268.78
7335.91,-8.79,251.84
7337.62,-8.44,204.99
7338.96,-8.09,262.95
7340.27,-7.73,268.37
7341.88,-7.38,217.96
7343.54,-7.03,211.66
7345.02,-6.68,237.54
7346.38,-6.33,260.03
7347.86,-5.98,236.90
7349.39,-5.62,229.93
7350.86,-5.27,239.16
7352.44,-4.92,221.95
7354.10,-4.57,212.17
7355.15,-4.22,336.10
7356.63,-3.87,237.06
7358.20,-3.52,223.93
7359.90,-3.16,206.68
7361.12,-2.81,288.40
7362.78,-2.46,212.17
7364.12,-2.11,262.56
7365.49,-1.76,256.61
7367.16,-1.41,210.26
7368.61,-1.05,241.96
7370.15,-0.70,228.14
7371.37,-0.35,288.17
7372.87,0.00,235.00
7374.43,0.35,225.51
7375.78,0.70,260.61
7377.35,1.05,223.50
7378.92,1.41,224.35
7380.46,1.76,226.96
7381.93,2.11,240.14
7383.35,2.46,247.93
7384.85,2.81,233.60
7386.42,3.16,224.93
7387.99,3.52,222.93
7389.17,3.87,298.44
7390.72,4.22,227.11
7392.12,4.57,251.12
7393.60,4.92,237.70
7395.23,5.27,215.42
7396.90,5.62,209.76
7398.33,5.98,246.71
7399.78,6.33,241.79
7401.38,6.68,219.86
7402.92,7.03,228.88
7404.13,7.38,290.07
7405.40,7.73,278.13
7407.21,8.09,194.13
7408.80,8.44,221.11
7410.32,8.79,230.38
7411.89,9.14,223.93
7413.31,9.49,248.81
7415.04,9.84,203.22
7416.37,10.20,264.33
7418.00,10.55,215.15
7419.57,10.90,224.07
7420.70,11.25,310.02
7422.43,11.60,203.92
7424.19,11.95,199.07
7425.67,12.30,237.06
7427.25,12.66,223.78
7428.70,13.01,241.62
7430.32,13.36,217.55
7431.91,13.71,220.28
7433.66,14.06,201.47
7435.18,14.41,230.38
7436.58,14.77,251.84
7438.46,15.12,187.40
7440.10,15.47,214.11
7441.38,15.82,274.66
7443.30,16.17,183.20
7445.00,16.52,206.20
7446.54,16.88,229.03
7448.18,17.23,214.37
7449.94,17.58,198.85
7451.67,17.93,203.45
7453.20,18.28,229.93
7455.30,18.63,167.89
7456.84,18.98,228.14
7458.26,19.34,247.23
7460.40,19.69,164.59
7462.01,20.04,217.28
7463.76,20.39,201.47
7465.63,20.74,187.70
7467.29,21.09,212.17
7469.03,21.45,201.47
7471.26,21.80,158.01
7472.98,22.15,204.16
7474.79,22.50,194.13
7476.54,22.85,201.58
7478.37,23.20,191.90
7480.29,23.55,183.20
7482.07,23.91,196.62
7484.34,24.26,154.94
7486.22,24.61,187.30
7488.18,24.96,179.28
7489.84,25.31,211.53
7492.06,25.66,158.43
7494.16,26.02,167.89
7496.08,26.37,183.20
7498.52,26.72,143.96
7500.92,27.07,146.55
7502.62,27.42,206.68
7504.67,27.77,171.24
7506.81,28.12,164.67
7509.47,28.48,132.02
7511.65,28.83,161.27
7514.35,29.18,130.02
7516.31,29.53,179.37
7518.89,29.88,136.53
7521.37,30.23,141.53
7523.38,30.59,175.17
7526.48,30.94,113.44
7529.05,31.29,136.79
7532.23,31.64,110.31
7534.91,31.99,131.43
7537.41,32.34,140.62
7540.65,32.70,108.57
7543.14,33.05,141.19
7546.60,33.40,101.61
7549.98,33.75,103.77
7552.86,34.10,122.24
7556.75,34.45,90.40
7560.67,34.80,89.66
7563.70,35.16,115.95
7568.21,35.51,77.92
7572.23,35.86,87.61
7577.25,36.21,70.05
7582.13,36.56,71.97
7587.80,36.91,61.99
7592.40,37.27,76.39
7600.15,37.62,45.42
7609.67,37.97,36.91
7622.61,38.32,27.17
7664.92,37.97,-8.31
7672.86,37.62,-44.30
7679.31,37.27,-54.46
7684.55,36.91,-67.16
7689.04,36.56,-78.30
7694.58,36.21,-63.44
7699.20,35.86,-76.05
7703.35,35.51,-84.65
7706.62,35.16,-107.74
7710.81,34.80,-83.95
7714.38,34.45,-98.31
7718.13,34.10,-93.73
7721.17,33.75,-115.80
7724.24,33.40,-114.52
7727.18,33.05,-119.38
7730.26,32.70,-114.29
7733.08,32.34,-124.67
7736.37,31.99,-106.99
7738.73,31.64,-148.53
7742.17,31.29,-102.38
7744.39,30.94,-158.01
7746.75,30.59,-149.28
7749.63,30.23,-122.11
7752.07,29.88,-143.91
7754.42,29.53,-149.28
7757.08,29.18,-132.27
7759.42,28.83,-150.05
7761.40,28.48,-177.83
7763.77,28.12,-148.46
7766.27,27.77,-140.85
7768.56,27.42,-153.52
7770.79,27.07,-157.02
7772.87,26.72,-169.26
7774.92,26.37,-171.58
7777.32,26.02,-146.55
7779.15,25.66,-191.90
7781.51,25.31,-149.22
7783.78,24.96,-154.81
7785.64,24.61,-189.22
7787.73,24.26,-168.21
7789.97,23.91,-156.60
7791.98,23.55,-175.43
7793.68,23.20,-206.32
7795.79,22.85,-167.01
7797.60,22.50,-193.17
7799.81,22.15,-159.58
7801.75,21.80,-181.12
7803.60,21.45,-190.34
7805.46,21.09,-188.91
7807.38,20.74,-183.20
7809.12,20.39,-201.82
7811.11,20.04,-176.58
7812.72,19.69,-218.09
7814.57,19.34,-190.03
7816.36,18.98,-196.29
7817.88,18.63,-230.84
7820.07,18.28,-161.19
7821.84,17.93,-198.18
7823.90,17.58,-170.25
7825.42,17.23,-231.75
7826.84,16.88,-247.75
7828.79,16.52,-180.38
7830.77,16.17,-177.83
7832.32,15.82,-226.09
7833.89,15.47,-223.93
7835.79,15.12,-185.72
7837.47,14.77,-208.40
7839.04,14.41,-224.35
7840.70,14.06,-211.66
7842.37,13.71,-210.64
7844.23,13.36,-188.91
7845.80,13.01,-223.78
7847.58,12.66,-197.17
7849.03,12.30,-243.46
7850.89,11.95,-188.81
7852.34,11.60,-241.96
7853.79,11.25,-242.12
7855.61,10.90,-193.27
7857.28,10.55,-210.90
7858.69,10.20,-249.69
7860.69,9.84,-175.96
7862.11,9.49,-246.54
7863.78,9.14,-210.52
7865.38,8.79,-219.45
7866.90,8.44,-231.90
7868.51,8.09,-218.36
7870.13,7.73,-217.42
7871.51,7.38,-255.13
7873.21,7.03,-206.20
7874.68,6.68,-239.97
7876.42,6.33,-201.58
7877.79,5.98,-257.18
7879.52,5.62,-203.22
7880.87,5.27,-259.84
7882.66,4.92,-196.62
7884.23,4.57,-223.93
7885.61,4.22,-254.39
7887.46,3.87,-190.45
7888.90,3.52,-244.31
7890.62,3.16,-204.04
7891.99,2.81,-255.87
7893.43,2.46,-244.14
7894.91,2.11,-237.22
7896.71,1.76,-196.29
7898.14,1.41,-244.82
7899.58,1.05,-244.14
7901.71,0.70,-164.98
7902.63,0.35,-381.30
7904.43,0.00,-196.18
7906.10,-0.35,-209.76
7907.54,-0.70,-244.14
7909.18,-1.05,-214.63
7910.72,-1.41,-227.99
7912.21,-1.76,-237.06
7913.63,-2.11,-246.71
7915.52,-2.46,-186.31
7916.92,-2.81,-251.30
7918.64,-3.16,-203.57
7920.08,-3.52,-243.80
7921.57,-3.87,-237.38
7923.00,-4.22,-244.48
7924.88,-4.57,-187.00
7926.45,-4.92,-223.93
7927.94,-5.27,-237.06
7929.86,-5.62,-183.20
7931.03,-5.98,-298.44
7932.60,-6.33,-224.35
7934.35,-6.68,-201.47
7936.05,-7.03,-206.80
7937.53,-7.38,-236.58
7939.20,-7.73,-210.52
7940.94,-8.09,-202.86
7942.56,-8.44,-215.95
7944.02,-8.79,-241.62
7945.69,-9.14,-210.26
7947.36,-9.49,-210.52
7949.11,-9.84,-201.24
7951.01,-10.20,-184.64
7952.23,-10.55,-287.69
7953.87,-10.90,-215.29
7955.46,-11.25,-220.97
7957.31,-11.60,-190.03
7959.12,-11.95,-193.49
7960.87,-12.30,-201.47
7962.44,-12.66,-223.93
7964.14,-13.01,-206.56
7965.71,-13.36,-223.93
7967.59,-13.71,-187.40
7969.16,-14.06,-223.93
7971.12,-14.41,-179.37
7973.07,-14.77,-180.20
7974.44,-15.12,-257.18
7976.53,-15.47,-167.89
7978.01,-15.82,-237.54
7979.84,-16.17,-191.59
7982.07,-16.52,-158.22
7983.72,-16.88,-212.17
7985.47,-17.23,-201.47
7987.30,-17.58,-191.80
7989.02,-17.93,-204.99
7990.75,-18.28,-202.86
7992.68,-18.63,-182.06
7994.63,-18.98,-180.47
7996.59,-19.34,-178.82
7998.38,-19.69,-196.95
8000.48,-20.04,-167.65
8002.31,-20.39,-192.22
8004.27,-20.74,-179.09
8006.23,-21.09,-179.09
8008.33,-21.45,-167.89
8010.42,-21.80,-167.65
8012.45,-22.15,-173.61
8014.65,-22.50,-159.44
8016.48,-22.85,-191.90
8018.75,-23.20,-155.01
8020.85,-23.55,-167.89
8023.29,-23.91,-143.91
8025.25,-24.26,-179.37
8027.39,-24.61,-164.28
8029.57,-24.96,-161.12
8031.96,-25.31,-147.47
8034.28,-25.66,-151.27
8036.56,-26.02,-154.13
8039.08,-26.37,-139.62
8041.35,-26.72,-155.01
8044.09,-27.07,-128.03
8046.58,-27.42,-141.25
8048.94,-27.77,-149.22
8051.86,-28.12,-120.32
8054.43,-28.48,-136.64
8057.05,-28.83,-134.34
8060.63,-29.18,-98.28
8063.07,-29.53,-143.96
8066.38,-29.88,-106.15
8069.46,-30.23,-114.33
8072.31,-30.59,-122.92
8075.95,-30.94,-96.72
8079.16,-31.29,-109.52
8082.21,-31.64,-115.12
8086.24,-31.99,-87.41
8089.28,-32.34,-115.46
8093.34,-32.70,-86.63
8097.57,-33.05,-83.07
8101.60,-33.40,-87.30
8107.08,-33.75,-64.14
8111.92,-34.10,-72.61
8118.03,-34.45,-57.58
8125.18,-34.80,-49.14
8133.16,-35.16,-44.06
8149.96,-35.51,-20.93
8194.69,-35.16,7.86
8201.25,-34.80,53.56
8207.45,-34.45,56.75
8214.78,-34.10,47.98
8219.40,-33.75,76.06
8224.50,-33.40,68.88
8227.95,-33.05,102.02
8233.01,-32.70,69.48
8236.32,-32.34,106.05
8240.33,-31.99,87.63
8243.87,-31.64,99.56
8247.75,-31.29,90.49
8250.98,-30.94,108.94
8254.42,-30.59,102.05
8257.52,-30.23,113.55
8260.53,-29.88,116.91
8263.60,-29.53,114.48
8266.42,-29.18,124.67
8270.08,-28.83,95.95
8272.52,-28.48,143.96
8275.44,-28.12,120.44
8278.37,-27.77,120.19
8281.03,-27.42,132.12
8283.16,-27.07,164.51
8285.87,-26.72,130.06
8288.24,-26.37,148.40
8290.88,-26.02,132.82
8293.28,-25.66,146.42
8295.50,-25.31,158.29
8298.08,-24.96,136.42
8300.26,-24.61,161.27
8302.40,-24.26,164.67
